name,pinyin,code,p_code,level,sort,national_code
辽宁省,liaoning,001,,0,1,1
沈阳市,shenyang,001001,001,1,2,1
大连市,dalian,001002,001,1,3,1
抚顺市,fushun,001003,001,1,4,1
铁岭市,tieling,001004,001,1,5,1
盘锦市,panjin,001005,001,1,6,1
鞍山市,anshan,001006,001,1,7,1
本溪市,benxi,001007,001,1,8,1
丹东市,dandong,001008,001,1,9,1
锦州市,jinzhou,001009,001,1,10,1
阜新市,fuxin,001011,001,1,11,1
辽阳市,liaoyang,001012,001,1,12,1
葫芦岛市,huludao,001013,001,1,13,1
营口市,yingkou,001014,001,1,14,1
朝阳市,chaoyang,001015,001,1,15,1
和平区,heping,001001002,001001,2,16,1
沈河区,shenhe,001001003,001001,2,17,1
大东区,dadong,001001004,001001,2,18,1
皇姑区,huanggu,001001005,001001,2,19,1
铁西区,tiexi,001001006,001001,2,20,1
苏家屯区,sujiatun,001001007,001001,2,21,1
浑南区,hunnan,001001008,001001,2,22,1
沈北新区,shenbei,001001009,001001,2,23,1
于洪区,yuhong,001001010,001001,2,24,1
辽中区,liaozhong,001001011,001001,2,25,1
康平县,kangping,001001012,001001,2,26,1
法库县,faku,001001013,001001,2,27,1
新民市,xinmin,001001014,001001,2,28,1
中山区,zhongshan,001002002,001002,2,29,1
西岗区,xigang,001002003,001002,2,30,1
沙河口区,shahekou,001002004,001002,2,31,1
甘井子区,ganjingzi,001002005,001002,2,32,1
旅顺口区,lvshunkou,001002006,001002,2,33,1
金州区,jinzhou,001002007,001002,2,34,1
普兰店区,pulandian,001002008,001002,2,35,1
长海县,changhai,001002009,001002,2,36,1
瓦房店市,wafangdian,001002010,001002,2,37,1
庄河市,zhuanghe,001002011,001002,2,38,1
新抚区,xinfu,001003002,001003,2,39,1
东洲区,dongzhou,001003003,001003,2,40,1
望花区,wanghua,001003004,001003,2,41,1
顺城区,shuncheng,001003005,001003,2,42,1
抚顺县,fushunxian,001003006,001003,2,43,1
新宾满族自治县,xinbinmanzuzizhixian,001003007,001003,2,44,1
清原满族自治县,qingyuanmanzuzizhixian,001003008,001003,2,45,1
昌图县,changtu,001004002,001004,2,46,1
调兵山市,diaobingshan,001004003,001004,2,47,1
开原市,kaiyuan,001004004,001004,2,48,1
银州区,yinzhou,001004005,001004,2,49,1
清河区,qinghe,001004006,001004,2,50,1
铁岭县,tielingxian,001004007,001004,2,51,1
西丰县,xifeng,001004008,001004,2,52,1
大洼区,dawa,001005002,001005,2,53,1
盘山县,panshan,001005003,001005,2,54,1
双台子区,shuangtaizi,001005004,001005,2,55,1
兴隆台区,xinglongtai,001005005,001005,2,56,1
台安县,taian,001006002,001006,2,57,1
海城市,haicheng,001006003,001006,2,58,1
岫岩满族自治县,xiuyanmanzuzizhixian,001006004,001006,2,59,1
千山区,qianshan,001006005,001006,2,60,1
铁西区,tiexi,001006006,001006,2,61,1
铁东区,tiedong,001006007,001006,2,62,1
立山区,lishan,001006008,001006,2,63,1
本溪满族自治县,benximanzuzizhixian,001007002,001007,2,64,1
桓仁满族自治县,hengrenmanzuzizhixian,001007003,001007,2,65,1
南芬区,nanfen,001007004,001007,2,66,1
明山区,mingshan,001007005,001007,2,67,1
平山区,pingshan,001007006,001007,2,68,1
溪湖区,xihu,001007007,001007,2,69,1
振安区,zhenan,001008002,001008,2,70,1
东港市,donggang,001008003,001008,2,71,1
凤城市,fengcheng,001008004,001008,2,72,1
宽甸满族自治县,kuandianmanzuzizhixian,001008005,001008,2,73,1
元宝区,yuanbao,001008006,001008,2,74,1
振兴区,zhenxing,001008007,001008,2,75,1
古塔区,guta,001009002,001009,2,76,1
北镇市,beizhen,001009003,001009,2,77,1
黑山县,heishan,001009004,001009,2,78,1
太和区,taihe,001009005,001009,2,79,1
义县,yixian,001009006,001009,2,80,1
凌海市,linghai,001009007,001009,2,81,1
凌河区,linghe,001009008,001009,2,82,1
阜新蒙古族自治县,fuxinmengguzuzizhixian,001011002,001011,2,83,1
清河门区,qinghemen,001011003,001011,2,84,1
太平区,taiping,001011004,001011,2,85,1
细河区,xihe,001011005,001011,2,86,1
彰武县,zhangwu,001011006,001011,2,87,1
海州区,haizhou,001011007,001011,2,88,1
新邱区,xinqiu,001011008,001011,2,89,1
灯塔市,dengta,001012002,001012,2,90,1
弓长岭区,gongchangling,001012003,001012,2,91,1
太子河区,taizihe,001012004,001012,2,92,1
辽阳县,liaoyangxian,001012005,001012,2,93,1
宏伟区,hongwei,001012006,001012,2,94,1
白塔区,baita,001012007,001012,2,95,1
文圣区,wensheng,001012008,001012,2,96,1
南票区,nanpiao,001013002,001013,2,97,1
建昌县,jianchang,001013003,001013,2,98,1
绥中县,suizhong,001013004,001013,2,99,1
兴城市,xingcheng,001013005,001013,2,100,1
连山区,lianshan,001013006,001013,2,101,1
龙港区,longgang,001013007,001013,2,102,1
大石桥市,dashiqiao,001014002,001014,2,103,1
盖州市,gaizhou,001014003,001014,2,104,1
鲅鱼圈区,bayuquan,001014004,001014,2,105,1
老边区,laobian,001014005,001014,2,106,1
站前区,zhanqian,001014006,001014,2,107,1
西市区,xishi,001014007,001014,2,108,1
北票市,beipiao,001015002,001015,2,109,1
朝阳县,chaoyangxian,001015003,001015,2,110,1
建平县,jianping,001015004,001015,2,111,1
喀喇沁左翼蒙古族自治县,kazuoqinzuoyimengguzuzizhixian,001015005,001015,2,112,1
凌源市,lingyuan,001015006,001015,2,113,1
龙城区,longcheng,001015007,001015,2,114,1
双塔区,shuangta,001015008,001015,2,115,1
