station_code,sbmc,edrl,zkdy,kzdl,dlsh,kzsh,dyb,gyceddl,yxbh,zxmc,ssgt,syxz,ssds,ywdw,whbz,ssdkx,gdqy,dydj,dkxzx,sbzt,tyrq,sfdw,sfnw,zycd,zcxz,zcdw,zcbh,sbzjfs,xh,sccj,ccbh,dxbm,ccrq,dxmc,jyjz,sffjb,wzkgfjds,wzkgfjwz,xmmc,dyceddl,xmbm,jddz,yh,yz,zz,lx,jynrdj,sbbm,djsj,bz,ljzbh,gnwz,swid,tzcjfs,ywsbzl,sfctsb,pmbm,ssxlmc,zyfl,zltxsl,sblxbm,dydjmc,dydjdm,ssdkxid,dqtz,dkxzxid,dxmpyxkid,obj_id
4E96118C-E4CB-44D8-9C01-1D1D783E59E7-65028,礼泉南线13柱上变压器,400,4,60,2576,130,10000/400,20,礼泉南线13,礼泉南线,礼泉南线13,公用变,国网抚顺供电公司,国网抚顺市新抚区供电分公司,配电运检一班,礼泉南线,B,交流10kV,礼泉南线主线,在运,2003-09-01 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S13-M-400/10,抚顺开发区电力设备制造公司,121505-9-186,,2002-05-01 ,,油浸,是,0,0,,260,,4,45,60,260,柱上变压器,A,22M00000025967302,2012-09-06 ,SH15-M-200/10  315 210420 2023.1.11 315→400,Yyn0,22-0803-D-51172-31025,,,无,,22M00000025967302,礼泉南线,配电,0,110,交流10kV,22,22DKX-159169,市区,22FZX-1367617,4E96118C-E4CB-44D8-9C01-1D1D783E59E7-65029,4E96118C-E4CB-44D8-9C01-1D1D783E59E7-65028
7AEB9CAE-E358-17B3-E044-00237DF99E35-00001,阿金二线53变台,400,4,0,3050,560,10/0.4,15,阿金二线53变台,阿金二线,阿金二线#53,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,阿金二线,B,交流10kV,阿金二线主线,在运,2022-07-31 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S20-M-400/10-NX2,吴江变压器有限公司,40246,,2022-02-25 ,,油浸,否,3,2,,360,,3,25,190,1035,柱上变压器,E,22M00000020619987,1995-09-16 ,,Yyn0,22-0803-D-50804-31008,,,无,,22M00000020619987,阿金二线,配电,0,110,交流10kV,22,22DKX-167889,市区,22FZX-1431601,A9D527EB-778E-4267-8B3C-5EC170B16642-36013,7AEB9CAE-E358-17B3-E044-00237DF99E35-00001
7AEB9CAE-E7B0-17B3-E044-00237DF99E35-00001,阿金二线葡萄园分3变台,315,4,0,3650,670,10/0.4,18,阿金二线葡萄园分3变台,阿金二线,阿金二线葡萄园分3#,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,阿金二线,B,交流10kV,阿金二线#42支线,在运,1998-09-11 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S9-315/10,抚顺开发区电力设备制造公司,40508,,1998-02-01 ,,油浸,否,3,2,,454,,2,25,220,1225,柱上变压器,E,22M00000020619452,1995-09-16 ,,Yyn0,22-0803-D-50804-31002,,,无,,22M00000020619452,阿金二线,配电,0,110,交流10kV,22,22DKX-167889,市区,22FZX-6101953,A9D527EB-778E-4267-8B3C-5EC170B16642-79762,7AEB9CAE-E7B0-17B3-E044-00237DF99E35-00001
7AEB9CAE-20CA-17B3-E044-00237DF99E35-00001,阿金二线小区分线#4,315,4,0,3650,670,10/0.4,18,阿金二线小区分线#4,阿金二线,阿金二线小区分线4,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,阿金二线,B,交流10kV,阿金二线#44支线,在运,1998-09-11 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S9-315/10,抚顺开发区电力设备制造公司,40212,,1998-02-01 ,,油浸,否,3,2,,454,,4,25,220,1225,柱上变压器,E,22M00000020595866,1995-09-16 ,,Yyn0,22-0803-D-50804-31007,,,无,,22M00000020595866,阿金二线,配电,0,110,交流10kV,22,22DKX-167889,市区,22FZX-1431921,373f5c17-965e-f04b-e053-cdeba00af5be5955oy,7AEB9CAE-20CA-17B3-E044-00237DF99E35-00001
7AEB9CAF-2EC6-17B3-E044-00237DF99E35-00001,东青一线22变台,100,4,0,1500,290,10/0.4,5,东青一线22变台,东青一线,东青一线22,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,东青一线,B,交流10kV,东青一线主线,在运,2000-01-01 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S9-100/10,抚顺开发区电力设备制造公司,990312,,1999-03-01 ,,油浸,否,0,0,,144,,4,25,110,560,柱上变压器,E,22M00000020625256,2000-01-06 ,,Yyn0,22-0803-D-50775-31001,,,无,,22M00000020625256,东青一线,配电,0,110,交流10kV,22,22DKX-162209,市区,22FZX-1403457,D8811665-BA39-421E-9C31-3AFFE16B0F12-01999,7AEB9CAF-2EC6-17B3-E044-00237DF99E35-00001
7AEB9CAE-5CBE-17B3-E044-00237DF99E35-00001,郎台联线17#,100,4,0,1500,290,10/0.4,5,郎台联线17#,郎台联线,郎台联线17,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,郎台联线,B,交流10kV,郎台联线主线,未投运,2002-05-17 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S9-100/10,抚顺开发区电力设备制造公司,20131,,2002-01-31 ,,油浸,否,0,0,,144,,3,25,110,560,柱上变压器,E,22M00000020584802,2002-05-22 ,,Yyn0,22-0803-D-50737-31005,,,无,,22M00000020584802,郎台联线,配电,0,110,交流10kV,22,22DKX-161425,市区,22FZX-1379345,318175d8-95c2-f177-e053-ceeba00a7702wuuje8,7AEB9CAE-5CBE-17B3-E044-00237DF99E35-00001
7AEB9CAE-5CC2-17B3-E044-00237DF99E35-00001,朗台联线炭黑分6左1-变台,100,4,0,1500,290,10/0.4,5,朗台联线炭黑分6左1-变台,郎台联线,炭黑分6左1#,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,郎台联线,B,交流10kV,郎台联线10支线,在运,2002-05-17 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S9-100/10,抚顺开发区电力设备制造公司,20131,,2002-01-31 ,,油浸,否,0,0,,144,,3,25,110,560,柱上变压器,E,22M00000020584804,2002-05-22 ,,Yyn0,22-0803-D-50737-31006,,,无,,22M00000020584804,郎台联线,配电,0,110,交流10kV,22,22DKX-161425,市区,22FZX-1379361,373f5c17-965c-f04b-e053-cdeba00af5bes9d1al,7AEB9CAE-5CC2-17B3-E044-00237DF99E35-00001
7AEB9CAE-5CBC-17B3-E044-00237DF99E35-00001,夜台联线20#变压器,100,4,0,2500,245,10/0.4,6,夜台联线20#变压器,夜台联线,夜台联线20#,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,夜台联线,B,交流10kV,夜台联线主线,在运,2003-05-17 ,否,否,一般,省（直辖市、自治区）公司,国网辽宁省电力有限公司,,设备增加-其他途径,S9-100/10,抚顺开发区电力设备制造公司,30131,,2003-01-31 ,,油浸,否,0,0,,150,,2,25,190,1035,柱上变压器,E,22M00000020584801,2003-05-22 ,,Yyn0,22-0803-D-50737-31004,,,无,,22M00000020584801,夜台联线,配电,0,110,交流10kV,22,22DKX-161521,市区,22FZX-1385313,515E663E-CA14-44A1-836F-EF3C8C4A43C6-57402,7AEB9CAE-5CBC-17B3-E044-00237DF99E35-00001
7AEB9CAE-6245-17B3-E044-00237DF99E35-00001,张甸干线#144,100,4,0,1500,290,10/0.4,6,张甸干线#144,张甸线,张甸干线144,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,张甸干线,B,交流10kV,张甸干线主线,在运,1999-05-10 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S9-100/10,抚顺开发区电力设备制造公司,991042,,1998-02-01 ,,油浸,否,0,0,,144,,4,25,110,560,柱上变压器,E,22M00000020586698,1999-05-15 ,,Yyn0,22-0803-D-50792-31007,,,无,,22M00000020586698,张甸线,配电,0,110,交流10kV,22,22DKX-150337,市区,22FZX-1787057,57BAA78E-8365-4AD4-BCF5-206882BDB340-62476,7AEB9CAE-6245-17B3-E044-00237DF99E35-00001
7AEB9CAE-6213-17B3-E044-00237DF99E35-00001,张甸干线64右1#,200,4,0,2000,170,10/0.4,3,张甸干线64右1-变台,张甸线,张甸干线64右1#,公用变,国网抚顺供电公司,国网抚顺市东洲区供电分公司,配电运检一班,张甸干线,B,交流10kV,张甸干线64支线,在运,2022-09-07 ,否,否,一般,省（直辖市、自治区）公司,国网抚顺供电公司,,设备增加-其他途径,S20-M-200/10.5-NX2,吴江变压器有限公司,910515,,2022-04-21 ,,油浸,否,0,0,,72,,4,25,80,375,柱上变压器,E,22M00000020586318,1991-05-15 ,,Yyn0,22-0803-D-50792-31001,,,无,,22M00000020586318,张甸线,配电,0,110,交流10kV,22,22DKX-150337,市区,22FZX-1787073,57BAA78E-8365-4AD4-BCF5-206882BDB340-60386,7AEB9CAE-6213-17B3-E044-00237DF99E35-00001
